종목코드,종목명
A008600,윌비스
A008700,아남전자
A008730,율촌화학
A008770,호텔신라
A008830,대동기어
A008870,금비
A008930,한미사이언스
A008970,KBI동양철관
A009140,경인전자
A009150,삼성전기
A009160,SIMPAC
A009180,한솔로지스틱스
A009190,대양금속
A009200,무림페이퍼
A009240,한샘
A009270,신원
A009290,광동제약
A009300,삼아제약
A009310,참엔지니어링
A009320,아진전자부품
A009410,태영건설
A009420,한올바이오파마
A009440,KC그린홀딩스
A009450,경동나비엔
A009460,한창제지
A009470,삼화전기
A009520,포스코엠텍
A009540,HD한국조선해양
A009580,무림P&P
A009620,삼보산업
A009680,모토닉
A009730,이렘
A009770,삼정펄프
A009780,엠에스씨
A009810,플레이그램
A009830,한화솔루션
A009900,명신산업
A009970,영원무역홀딩스
A010040,한국내화
A010060,OCI홀딩스
A010100,한국무브넥스
A010130,고려아연
A010140,삼성중공업
A010170,대한광통신
A010240,흥국
A010280,아이티센엔텍
A010400,우진아이엔에스
A010470,오리콤
A010580,에스엠벡셀
A010660,화천기계
A010690,화신
A010770,평화홀딩스
A010780,아이에스동서
A010820,퍼스텍
A010950,S-Oil
A010960,삼호개발
A011000,진원생명과학
A011040,경동제약
A011070,LG이노텍
A011080,형지I&C
A011090,에넥스
A011150,CJ씨푸드
A011170,롯데케미칼
A011200,HMM
A011210,현대위아
A011280,태림포장
A011300,성안머티리얼스
A011320,유니크
A011330,유니켐
A011370,서한
A011390,부산산업
A011420,갤럭시아에스엠
A011500,한농화성
A011560,세보엠이씨
A011690,와이투솔루션
A011760,현대코퍼레이션
A011780,금호석유화학
A011790,SKC
A011810,STX
A011930,신성이엔지
A012030,DB
A0120G0,삼양바이오팜
A012160,영흥
A012170,아센디오
A012200,계양전기
A012210,삼미금속
A012280,영화금속
A012320,경동인베스트
A012330,현대모비스
A012340,뉴인텍
A012450,한화에어로스페이스
A012510,더존비즈온
A012610,경인양행
A012620,원일특강
A012630,HDC
A012690,모나리자
A0126Z0,삼성에피스홀딩스
A012700,리드코프
A012750,에스원
A012790,신일제약
A012800,대창
A012860,모베이스전자
A013000,세우글로벌
A013030,하이록코리아
A013120,동원개발
A013310,아진산업
A013360,일성건설
A013520,화승코퍼레이션
A013570,디와이
A013700,까뮤이앤씨
A013720,THE CUBE&
A013810,스페코
A013870,지엠비코리아
A013890,지누스
A013990,아가방컴퍼니
A014100,메디앙스
A014130,한익스프레스
A014160,대영포장
A014190,원익큐브
A014280,금강공업
A014440,영보화학
A014470,부방
A014530,극동유화
A014570,고려제약
A014580,태경비케이
A014620,성광벤드
A014680,한솔케미칼
A014710,사조씨푸드
A014790,HL D&I
A014820,동원시스템즈
